Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Seller RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-z claim	Is prime	ASIN	 Merchant SKU	Item Name	Return quantity	Return reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim ID	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount	Category	Order Item ID
403-1790603-6222738	05-Oct-2025	13-Oct-2025	Approved	DbCDRXJ9RRMA	 	AmazonPrePaidLabel	0.00	 	ATS	514771326134	Seller	N	N	B0FB447JP8	EN-GARMENT-STEAMER-FBM	Encasify Garment Steamer Dust-Proof Cover – Universal Fabric Steamer Protective Storage Bag for Home & Commercial Use, Fits All Vertical Clothes Steamers (Black)	1	CR-SWITCHEROO	Y	C-Returns	Replacement	 	27-Oct-2025	481.00	1	 	 	 	 	 	 	Kitchen	55186126888083
405-9234907-8685162	04-Oct-2025	12-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	364087748522	Not Computed	N	N	B0DQ4S1HBD	EN-EMC-BLK-COVER-FBM	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Black	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-872	18-Oct-2025	 	 	 	 	 	 	 	 	Home Improvement	67206807185083
408-4160846-8238726	01-Oct-2025	11-Oct-2025	Approved	DSkRhqxlRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	514766214507	Seller	N	N	B0FJ2FGM2W	T-11-12-GREEN	STANIX Boys Organic Cotton Bio-wash Round Neck Half-Sleeve T-Shirt | Comfortable & Durable T Shirt | Everyday Wear (in, Age, 11 Years, 12 Years, Regular, Mint Green)	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	18-Oct-2025	293.02	1	 	 	 	 	 	299.00	Apparel	13142103450563
171-3924683-4055565	01-Oct-2025	10-Oct-2025	Approved	Dw2MhHxxRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	514764771118	Seller	N	N	B0F7XSGT5X	EN-PWC-BLACK-1	Encasify Pressure Washer Cover – Waterproof, Dustproof & Stretch-Proof Protective Cover, Compatible with DYLECT Ultra Flow Plus & Other Brands (Indoor/Outdoor Use)	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	RefundAtFirstScan	 	16-Oct-2025	391.00	1	 	 	 	 	 	391.00	Home Improvement	03321166779691
403-8937086-8912319	29-Sep-2025	09-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	363937589803	Not Computed	N	N	B0DQ4S1HBD	EN-EMC-BLK-COVER-FBM	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Black	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-819	15-Oct-2025	 	 	 	 	 	 	 	 	Home Improvement	04209399704611
171-8360704-9559522	27-Sep-2025	09-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	363937546486	Not Computed	N	N	B0DQ4S1HBD	EN-EMC-BLK-COVER-FBM	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Black	1	UND-UNKNOWN	Y	Undelivered	StandardRefund	IN-805	15-Oct-2025	 	 	 	 	 	 	 	 	Home Improvement	54154231737155
405-1878686-3713925	03-Oct-2025	08-Oct-2025	Approved	DN03hgxpRRMA	 	AmazonPrePaidLabel	92.00	INR	ATS	514762319183	Seller	N	N	B0FRGFQSWW	G6-Y5CH-EHL1	Encasify Massage Chair Cover - Full Body Protector for Massage Chair - Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material (Silver)	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	StandardRefund	IN-861	 	979.02	1	 	 	 	 	 	 	Home	44504673513123
408-7120611-6841942	29-Sep-2025	08-Oct-2025	Approved	DS0shrx9RRMA	 	AmazonPrePaidLabel	0.00	 	ATS	514765280473	Seller	N	N	B0FQBWM24C	EN-SPARE-TYRE-32IN	Encasify Spare Tyre Cover | Heavy-Duty Polyester Wheel Protector | Fits Most Car & SUV Tyres | Black (SPARE-TYRE-32in)	1	CR-SWITCHEROO	Y	C-Returns	Replacement	 	21-Oct-2025	498.00	1	 	 	 	 	 	503.00	Automotive	65023718338571
408-9251886-7588314	29-Sep-2025	08-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	363937546431	Not Computed	N	N	B0FQBWM24C	EN-SPARE-TYRE-32IN	Encasify Spare Tyre Cover | Heavy-Duty Polyester Wheel Protector | Fits Most Car & SUV Tyres | Black (SPARE-TYRE-32in)	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-817	13-Oct-2025	 	 	 	 	 	 	 	 	Automotive	01680026664635
403-2058896-1345113	20-Sep-2025	07-Oct-2025	Approved	DmKbftxNRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	514760288450	Seller	N	N	B0DQ4S1HBD	EN-EMC-BLK-COVER-FBM	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Black	1	AMZ-PG-MISORDERED	Y	Amazon CS	RefundAtFirstScan	 	15-Oct-2025	1043.10	1	 	 	 	 	 	1043.10	Home Improvement	36876183598331
403-2058896-1345113	20-Sep-2025	07-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	 	 	Seller	N	N	B0DQ4S1HBD	EN-EMC-BLK-COVER-FBM	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Black	1	CR-SWITCHEROO	Y	C-Returns	Replacement	 	 	1043.10	1	 	 	 	 	 	 	Home Improvement	36876183598331
406-7366761-8857965	21-Sep-2025	07-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	363606708962	Not Computed	N	N	B0FQBVHKNT	EN-SPARE-TYRE-30IN	Encasify Spare Tyre Cover | Heavy-Duty Polyester Wheel Protector | Fits Most Car & SUV Tyres | Black (SPARE-TYRE-30in)	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-756	13-Oct-2025	 	 	 	 	 	 	 	 	Automotive	64238982013987
405-6531728-5669949	25-Sep-2025	06-Oct-2025	Approved	DnycfSxmRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	514759499744	Seller	N	N	B0FQBVHKNT	EN-SPARE-TYRE-30IN	Encasify Spare Tyre Cover | Heavy-Duty Polyester Wheel Protector | Fits Most Car & SUV Tyres | Black (SPARE-TYRE-30in)	1	NEVER_ARRIVED	Y	Amazon CS	RefundAtFirstScan	 	16-Oct-2025	473.00	1	 	 	 	 	 	473.00	Automotive	21482416309259
171-6164832-1101131	24-Sep-2025	02-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	363723756853	Not Computed	N	N	B0FQBYQB79	EN-SPARE-TYRE-28IN	Encasify Spare Tyre Cover | Heavy-Duty Polyester Wheel Protector | Fits Most Car & SUV Tyres | Black (SPARE-TYRE-28in)	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-779	06-Oct-2025	 	 	 	 	 	 	 	 	Automotive	25893564836995
402-6689985-1220324	23-Sep-2025	02-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	 	 	Seller	N	N	B0FQBWM24C	EN-SPARE-TYRE-32IN	Encasify Spare Tyre Cover | Heavy-Duty Polyester Wheel Protector | Fits Most Car & SUV Tyres | Black (SPARE-TYRE-32in)	1	CR-SWITCHEROO	Y	C-Returns	Replacement	 	 	498.00	1	 	 	 	 	 	359.04	Automotive	24223534936707
402-6689985-1220324	23-Sep-2025	02-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	 	 	Seller	N	N	B0FQBWM24C	EN-SPARE-TYRE-32IN	Encasify Spare Tyre Cover | Heavy-Duty Polyester Wheel Protector | Fits Most Car & SUV Tyres | Black (SPARE-TYRE-32in)	1	CR-SWITCHEROO	Y	C-Returns	Replacement	 	 	498.00	1	 	 	 	 	 	 	Automotive	24223534936707
403-8053123-8593107	22-Sep-2025	01-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	363642932505	Not Computed	N	N	B0FQBWM24C	EN-SPARE-TYRE-32IN	Encasify Spare Tyre Cover | Heavy-Duty Polyester Wheel Protector | Fits Most Car & SUV Tyres | Black (SPARE-TYRE-32in)	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-767	07-Oct-2025	 	 	 	 	 	 	 	 	Automotive	23547364366699
402-3807554-9525149	21-Sep-2025	01-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	363606690441	Not Computed	N	N	B0DQ4S1HBD	EN-EMC-BLK-COVER-FBM	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Black	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-753	06-Oct-2025	 	 	 	 	 	 	 	 	Home Improvement	31379632361371
408-8336475-6171515	19-Sep-2025	01-Oct-2025	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	363561240712	Not Computed	N	N	B0DQ4S1HBD	EN-EMC-BLK-COVER-FBM	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Black	1	UND-UNKNOWN	Y	Undelivered	StandardRefund	IN-742	07-Oct-2025	 	 	 	 	 	 	 	 	Home Improvement	25417060751515
