"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","Sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","Total sales tax liable(GST before adjusting TCS)","TCS-CGST","TCS-SGST","TCS-IGST","TDS (Section 194-O)","selling fees","fba fees","other transaction fees","other","total"
"18 Oct 2025 6:48:14 am UTC","25781749382","Order","403-9297096-5053101","EN-AIR-COOLER-88LTR-COVER","Encasify Air Cooler Cover | Crompton Ozone 88 Litre Desert Cooler Cover | Polyster | Black (88 ltr)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","Kapashera","Delhi","110037","529.48","38.10","0","-38.10","26.47","0","0","-2.65","-0.54","-88.56","-96.76","-30.68","0","336.76"
"18 Oct 2025 7:12:40 am UTC","25781749382","Order","171-0516492-2127562","EN-GARMENT-STEAMER-FBM","Encasify Garment Steamer Dust-Proof Cover - Universal Fabric Steamer Protective Storage Bag for Home & Commercial Use, Fits All Vertical Clothes Steam","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","GWALIOR","MADHYA PRADESH","474006","458.10","0","0","-9.16","22.44","0","0","-2.24","-0.46","-36.16","0","-12.98","0","419.54"
"18 Oct 2025 7:56:55 am UTC","25781445902","Order","404-8547625-9465949","ZJ-UXCI-Z7YQ","Encasify Billiard Pool Table Cover, Dustproof, Waterproof & Tearproof Covers for Pool Table 7/8/9FT Fitted - Polyester Material - Black (9 Feet (284cm","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon","Agra","UTTAR PRADESH","282002","845.76","0","0","-25.38","147.67","0","0","-4.10","-0.83","-148.50","-120.36","-30.68","0","663.58"
"18 Oct 2025 7:58:53 am UTC","25781749382","Order","403-8134678-7286763","COVER - 10.5 KG WHEELCHAIR","Encasify Foldable Travel Wheelchair Cover | Waterproof, Dustproof & Durable Protection Cover for Folded Wheelchair | Compatible for Frido Travel Wheel","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","MUMBAI","MAHARASHTRA","400005","474.29","0","0","0","23.71","0","0","-2.37","-0.48","-26.44","0","-12.98","0","455.73"
"18 Oct 2025 8:25:18 am UTC","25781749382","Order","404-9425788-8874769","EN-ERH-BLK-COVER-5","Encasify Electric Room Heater Cover | Dustproof and Scratch Proof Room Heater Cover | Nylon Material Cover | Black","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","Mussoorie","UTTARAKHAND","248179","394.88","0","0","0","71.08","0","0","-1.97","-0.40","-24.74","-96.76","-15.34","0","326.75"
"18 Oct 2025 12:05:40 pm UTC","25781445902","Order","406-0172448-1379526","EN-EMC-BLK-COVER-FBM","Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","UDHAMPUR","JAMMU & KASHMIR","182101","993.43","0","0","0","49.67","0","0","-4.97","-1.01","-166.17","0","-76.70","0","794.25"
"18 Oct 2025 1:12:20 pm UTC","25781749382","Refund","408-7120611-6841942","EN-SPARE-TYRE-32IN","Encasify Spare Tyre Cover | Heavy-Duty Polyester Wheel Protector | Fits Most Car & SUV Tyres | Black (SPARE-TYRE-32in)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","MUZAFFARNAGAR","UTTAR PRADESH","251327","-422.03","0","0","0","-75.97","0","0","2.11","0","-0.33","0","12.98","0","-483.24"
"18 Oct 2025 4:37:26 pm UTC","25781749382","Order","171-8476663-2303538","EN-AI-COOK-BLK-COVER","Encasify Upliance AI Cooking Assistant Cover | Dust and Waterproof Washable suitble for Upliance AI Cooking Assistant | Nylon Material | Black","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","CHENNAI","TAMIL NADU","600125","370.48","0","0","-7.41","18.15","0","0","-1.82","-0.37","-20.24","-96.76","-15.34","0","246.69"
"18 Oct 2025 6:46:16 pm UTC","25781445902","Shipping Services","171-0259008-5653133","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-76.70","0","-76.70"
"18 Oct 2025 6:47:35 pm UTC","25781445902","Shipping Services","171-9089861-7491549","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-76.70","0","-76.70"
"18 Oct 2025 6:50:45 pm UTC","25781749382","Shipping Services","171-4838388-0196333","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-76.70","0","-76.70"
"18 Oct 2025 6:57:27 pm UTC","25781749382","Shipping Services","408-4160846-8238726","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-76.70","0","-76.70"
"18 Oct 2025 6:57:31 pm UTC","25781445902","Shipping Services","404-1115925-7608302","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-76.70","0","-76.70"
"18 Oct 2025 7:22:36 pm UTC","25781445902","Shipping Services","408-5288617-3805929","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-76.70","0","-76.70"
"18 Oct 2025 7:42:19 pm UTC","25781445902","Shipping Services","402-2898339-8437916","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-76.70","0","-76.70"
"18 Oct 2025 8:02:16 pm UTC","25781445902","Order","405-7959978-0595533","EN-GARMENT-STEAMER-FBM","Encasify Garment Steamer Dust-Proof Cover - Universal Fabric Steamer Protective Storage Bag for Home & Commercial Use, Fits All Vertical Clothes Steam","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","PHAGWARA","PUNJAB","144401","458.10","0","0","0","22.90","0","0","-2.29","-0.47","-36.90","0","-12.98","0","428.36"
"18 Oct 2025 8:20:02 pm UTC","25781749382","Order","403-6413709-2839527","EN-EMC-BLK-COVER-FBM","Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","BENGALURU","KARNATAKA","560049","993.43","0","0","-19.87","48.68","0","0","-4.87","-0.98","-162.84","0","-76.70","0","776.85"
"18 Oct 2025 8:24:39 pm UTC","25781749382","Order","171-2139380-9211506","EN-EMC-BLK-COVER-FBM","Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","Noida","UTTAR PRADESH","201301","993.43","0","0","-19.87","48.68","0","0","-4.87","-0.98","-162.84","0","-76.70","0","776.85"
"18 Oct 2025 8:27:39 pm UTC","25781445902","Order","405-3427621-6788316","EN-EMC-BLK-COVER-FBM","Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","JAIPUR","RAJASTHAN","302039","993.43","0","0","0","49.67","0","0","-4.97","-1.01","-166.17","0","-76.70","0","794.25"
"18 Oct 2025 8:42:18 pm UTC","25781749382","Order","402-2668817-6221169","EN-GARMENT-STEAMER-FBM","Encasify Garment Steamer Dust-Proof Cover - Universal Fabric Steamer Protective Storage Bag for Home & Commercial Use, Fits All Vertical Clothes Steam","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","NOIDA","UTTAR PRADESH","201307","458.10","0","0","-9.16","22.44","0","0","-2.24","-0.45","-36.16","0","-12.98","0","419.55"
"18 Oct 2025 8:53:42 pm UTC","25781749382","Shipping Services","402-0111020-0469154","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-76.70","0","-76.70"
"18 Oct 2025 9:10:09 pm UTC","25781445902","Order","407-3962351-3093129","EN-M-SPEAKER-8-IN","Encasify Mounted Speaker Cover - Water-Resistant Protective Dust Cover for Stand-Mounted Speakers - (Speaker & Stand Not Included) - Black (Black, 8 I","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon","KOLKATA","WEST BENGAL","700028","384.74","38.10","0","-45.80","18.86","0","0","-1.89","-0.38","-79.41","-96.76","-24.78","0","192.68"
"18 Oct 2025 9:22:16 pm UTC","25781749382","Order","408-7593763-7593126","EN-FB-BLK-COVER","Encasify Foosball Table Cover | Dust-Proof, Waterproof & Scratch-Resistant, Universal Fit for Indoor & Outdoor Use, Rectangular | Black","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","BENGALURU","KARNATAKA","560010","780.56","0","0","0","140.50","0","0","-3.90","-0.79","-146.72","-120.36","-30.68","0","618.61"
"18 Oct 2025 9:49:47 pm UTC","25781749382","Order","403-9251276-0588306","EN-AIR-COOLER-36LTR-COVER","Encasify Air Cooler Cover | Bajaj PX97 Torque 36L Personal Air Cooler Cover | Polyster | Black (36 ltr)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","NEW DELHI","DELHI","110017","367.59","0","0","-7.35","18.01","0","0","-1.80","-0.37","-20.08","-96.76","-15.34","0","243.90"
