amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-iba 
407-7668300-0852344	407-7668300-0852344	2025-10-13T04:11:45+00:00	2025-10-14T07:34:28+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac	EN-EMC-BLK-COVER	B0DQ4S1HBD	Shipped	1	INR	1099.0								BENGALURU	KARNATAKA	560092	IN		false			false
406-8343010-1009126		2025-10-13T03:46:40+00:00	2025-10-19T07:41:39+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Polyester Full-Size Fan Cover | Heavy-Duty Waterproof & Dustproof Protective Cover for Electric Fans | Adjustable Fit for Pedestal, Floor & Table Fans | Black 75x145 cm (Pack of 1)	EN-FULL SIZE-FAN COVER-FBM	B0F4KPZBJ1	Shipped	1	INR	290.0	13.81							KOTPUTLI	RAJASTHAN	303108	IN		false			false
171-9764662-2339513		2025-10-13T03:42:29+00:00	2025-10-19T10:42:25+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Garment Steamer Dust-Proof Cover - Universal Fabric Steamer Protective Storage Bag for Home & Commercial Use, Fits All Vertical Clothes Steamers (Black)	EN-GARMENT-STEAMER-FBM	B0FB447JP8	Shipped	1	INR	481.0	22.9							NOIDA	UTTAR PRADESH	201301	IN		false			false
402-5442104-2767542	402-5442104-2767542	2025-10-13T03:35:18+00:00	2025-10-13T09:21:39+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Air Cooler Cover | Compatible with Havells Celia 55 Litre Desert Cooler Cover | Polyster | Black (55 ltr)	EN-AIR-COOLER-55LTR-COVER	B0F7Y5S7C2	Shipped	1	INR	602.92								VADODARA	GUJARAT	390024	IN		false			false
408-3774227-9154719	408-3774227-9154719	2025-10-13T03:23:04+00:00	2025-10-14T11:30:37+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Billiard Pool Table Cover, Dustproof, Waterproof & Tearproof Covers for Pool Table 7/8/9FT Fitted - Polyester Material - Black (8 Feet (254cm	MQ-QE1A-WBD4	B0DRPLQMZ6	Shipped	1	INR	935.0		40.0					40.0	JAMMU	JAMMU & KASHMIR	180003	IN		false			false
402-0743742-0790727		2025-10-13T03:09:27+00:00	2025-10-19T11:11:26+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Massage Chair Cover - Full Body Protector for Massage Chair - Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material (Silver)	G6-Y5CH-EHL1	B0FRGFQSWW	Shipped	1	INR	999.0	47.57							CHANDRAPUR	MAHARASHTRA	442401	IN		false			false
404-7157292-8913169		2025-10-13T01:45:10+00:00	2025-10-25T12:20:27+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Black	EN-EMC-BLK-COVER-FBM	B0DQ4S1HBD	Shipped	1	INR	1043.1	49.67							MUMBAI	MAHARASHTRA	400104	IN		false			false
405-7641537-0089109	405-7641537-0089109	2025-10-12T19:57:35+00:00	2025-10-13T06:35:31+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Mounted Speaker Cover - Water-Resistant Protective Dust Cover for Stand-Mounted Speakers - (Speaker & Stand Not Included) - Black (Black, 12	EN-M-SPEAKER-12-IN	B0F5QSYMNN	Shipped	1	INR	615.97								BENGALURU	KARNATAKA	560102	IN		false			false
402-5483927-7653156	402-5483927-7653156	2025-10-12T19:06:17+00:00	2025-10-14T04:38:19+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Electric Room Heater Cover | Electric Dustproof Room Heater Cover | Electric Heater cover | Nylon Material | Black	EN-ERH-COVER-4	B0DPMHKW5X	Shipped	1	INR	408.59		40.0					40.0	MOHALI	PUNJAB	140307	IN		false			false
407-3591767-2975538		2025-10-12T18:06:03+00:00	2025-10-26T09:02:07+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Polyester Full-Size Fan Cover | Heavy-Duty Waterproof & Dustproof Protective Cover for Electric Fans | Adjustable Fit for Pedestal, Floor & Table Fans | Black 75x145 cm (Pack of 1)	EN-FULL SIZE-FAN COVER-FBM	B0F4KPZBJ1	Shipped	1	INR	290.0	13.81							ARARIA	BIHAR	854318	IN		false			false
404-7022697-4073932	404-7022697-4073932	2025-10-12T17:55:34+00:00	2025-10-14T11:03:05+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Billiard Pool Table Cover, Dustproof, Waterproof & Tearproof Covers for Pool Table 7/8/9FT Fitted - Polyester Material - Black (8 Feet (254cm	MQ-QE1A-WBD4	B0DRPLQMZ6	Shipped	1	INR	935.0								BAZPUR	UTTARAKHAND	262401	IN		false			false
402-8165340-0181925	402-8165340-0181925	2025-10-12T17:13:56+00:00	2025-10-13T06:20:33+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Table Tennis Table Cover Fits Flat & Folding Tables - All Weather Condition 2 in1 (Indoor/Outdoor) Cover - Dust & Water Resistant - Universal	EN-TTT-BLK-COVER	B0DRPNTZD1	Shipped	1	INR	1298.0								INDORE	MADHYA PRADESH	452010	IN		true			false
402-5527473-8021934	402-5527473-8021934	2025-10-12T16:20:40+00:00	2025-10-12T23:20:56+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Sewing Machine Cover with Storage Pockets | Dustproof Silai Machine Cover for Perfection | Nylon Material | Black (Large)	EN-SILAY-LARGE-COVER	B0F2YVKN9W	Shipped	1	INR	414.98		40.0						NOIDA	UTTAR PRADESH	201305	IN		false			false
408-2746083-9255511	408-2746083-9255511	2025-10-12T15:09:42+00:00	2025-10-13T08:27:33+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Wet Dry Vacuum Cover | Protects Against Sun, Rain, Snow Vacuum Cover | 22x28 inches | Polyester Material | Black	EN-V-BLK-COVER	B0DPSSH3VY	Shipped	1	INR	385.97								CHENNAI	TAMIL NADU	600054	IN		false			false
171-2456726-9347569		2025-10-12T14:46:57+00:00	2025-10-23T05:23:58+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	Encasify Tripod & Light Stand Carry Bag - Compatible with 20 Inch Compact Tripod, Ring Light Stand, Mic Stand, Photography Accessories - Black	EN-Tripod-COVER	B0FTGKXTXG	Shipped	1	INR	481.0	22.9							GHAZIABAD	UTTAR PRADESH	201010	IN		false			false
406-0773045-7670712	406-0773045-7670712	2025-10-12T14:39:27+00:00	2025-10-12T22:22:03+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Wet Dry Vacuum Cover | Protects Against Sun, Rain, Snow Vacuum Cover | 22x28 inches | Polyester Material | Black	EN-V-BLK-COVER	B0DPSSH3VY	Shipped	1	INR	385.97								Sahjanwan	UTTAR PRADESH	273209	IN		false			false
407-2167572-7851500	407-2167572-7851500	2025-10-12T14:31:12+00:00	2025-10-14T07:44:38+00:00	Shipped	Amazon	Amazon.in			Expedited	Encasify Massage Chair Cover - Full Body Protector for Zero Gravity Chair, Dustproof & Scratch-Proof for Pets, Cats & Dogs - Polyester Material - Blac	EN-EMC-BLK-COVER	B0DQ4S1HBD	Shipped	1	INR	1088.01								NOIDA	UTTAR PRADESH	201301	IN		true		Business Price	false
